%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1445255269495059967,0,1445255269493871096,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269514775991,0,1445255269513864246,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269534696102,0,1445255269533865615,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269554480075,0,1445255269553754589,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269575249910,0,1445255269573739916,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269594471931,0,1445255269593736103,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269614655971,0,1445255269613725981,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269634462118,0,1445255269633736445,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269655631065,0,1445255269654744756,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269674467086,0,1445255269673734000,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269694536924,0,1445255269693744685,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269714489936,0,1445255269713724224,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269734467029,0,1445255269733735205,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269754513025,0,1445255269753738538,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269774465084,0,1445255269773735141,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269794508934,0,1445255269793756895,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269814482927,0,1445255269813743776,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269834327936,0,1445255269833606816,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269854404926,0,1445255269853616203,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269874337911,0,1445255269873612325,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269894380092,0,1445255269893632616,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269914357900,0,1445255269913618710,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269934159994,0,1445255269933456263,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269953257083,0,1445255269952481714,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
1445255269973191022,0,1445255269972450078,odom,base_footprint,10.2225130396,-3.62895690877,0.0,0.0,0.0,0.0609614356095,0.998140122111
